,Precinct,Race,Candidate,Total Votes,Vote Percentage
2890,2056,Mayor,Michael Samaniego,3,1.24
2891,2056,Mayor,Diana Flores Uriegas,10,4.15
2894,2056,District 1,Jeremy Roberts,36,15.19
2895,2056,District 1,Roberto Rios Ortega,9,3.8
2896,2056,District 1,Sukh Kaur,55,23.21
2897,2056,District 1,Ernest Salinas,16,6.75
2898,2056,District 1,Lauro Bustamante,9,3.8
2899,2056,District 1,Mario Bravo,106,44.73
2900,2056,District 1,William T. Lamar-Boone,6,2.53
2903,2057,Mayor,Ray Adam Basaldua,3,1.29
2904,2057,Mayor,Christopher T. Schuchardt,28,12.02
2905,2057,Mayor,Christopher Longoria,7,3.0
2906,2057,Mayor,Ron Nirenberg,168,72.1
2907,2057,Mayor,Armando Dominguez,1,0.43
2908,2057,Mayor,Michael Idrogo,0,0.0
2909,2057,Mayor,Gary Allen,6,2.58
2910,2057,Mayor,Michael Samaniego,4,1.72
2911,2057,Mayor,Diana Flores Uriegas,16,6.87
2914,2057,District 1,Jeremy Roberts,33,14.73
2915,2057,District 1,Roberto Rios Ortega,8,3.57
2916,2057,District 1,Sukh Kaur,66,29.46
2917,2057,District 1,Ernest Salinas,23,10.27
2918,2057,District 1,Lauro Bustamante,11,4.91
2919,2057,District 1,Mario Bravo,80,35.71
2920,2057,District 1,William T. Lamar-Boone,3,1.34
2923,2058,Mayor,Ray Adam Basaldua,6,2.3
2924,2058,Mayor,Christopher T. Schuchardt,41,15.71
2925,2058,Mayor,Christopher Longoria,7,2.68
2926,2058,Mayor,Ron Nirenberg,177,67.82
2927,2058,Mayor,Armando Dominguez,3,1.15
2928,2058,Mayor,Michael Idrogo,1,0.38
2929,2058,Mayor,Gary Allen,12,4.6
2930,2058,Mayor,Michael Samaniego,3,1.15
2931,2058,Mayor,Diana Flores Uriegas,11,4.21
2934,2058,District 1,Jeremy Roberts,43,16.67
2935,2058,District 1,Roberto Rios Ortega,16,6.2
2936,2058,District 1,Sukh Kaur,71,27.52
2937,2058,District 1,Ernest Salinas,25,9.69
2938,2058,District 1,Lauro Bustamante,9,3.49
2939,2058,District 1,Mario Bravo,90,34.88
2940,2058,District 1,William T. Lamar-Boone,4,1.55
2943,2059,Mayor,Ray Adam Basaldua,13,4.48
2944,2059,Mayor,Christopher T. Schuchardt,47,16.21
2945,2059,Mayor,Christopher Longoria,11,3.79
2946,2059,Mayor,Ron Nirenberg,182,62.76
2947,2059,Mayor,Armando Dominguez,5,1.72
2948,2059,Mayor,Michael Idrogo,1,0.34
2949,2059,Mayor,Gary Allen,15,5.17
2950,2059,Mayor,Michael Samaniego,6,2.07
2951,2059,Mayor,Diana Flores Uriegas,10,3.45
2954,2059,District 1,Jeremy Roberts,48,16.78
2955,2059,District 1,Roberto Rios Ortega,19,6.64
2956,2059,District 1,Sukh Kaur,94,32.87
2957,2059,District 1,Ernest Salinas,31,10.84
2958,2059,District 1,Lauro Bustamante,14,4.9
2959,2059,District 1,Mario Bravo,72,25.17
2960,2059,District 1,William T. Lamar-Boone,8,2.8
2963,2060,Mayor,Ray Adam Basaldua,7,2.33
2964,2060,Mayor,Christopher T. Schuchardt,39,13.0
2965,2060,Mayor,Christopher Longoria,7,2.33
2966,2060,Mayor,Ron Nirenberg,221,73.67
2967,2060,Mayor,Armando Dominguez,3,1.0
2968,2060,Mayor,Michael Idrogo,3,1.0
2969,2060,Mayor,Gary Allen,10,3.33
2970,2060,Mayor,Michael Samaniego,2,0.67
2971,2060,Mayor,Diana Flores Uriegas,8,2.67
2974,2060,District 1,Jeremy Roberts,38,13.38
2975,2060,District 1,Roberto Rios Ortega,17,5.99
2976,2060,District 1,Sukh Kaur,111,39.08
2977,2060,District 1,Ernest Salinas,25,8.8
2978,2060,District 1,Lauro Bustamante,23,8.1
2979,2060,District 1,Mario Bravo,63,22.18
2980,2060,District 1,William T. Lamar-Boone,7,2.46
2983,2062,Mayor,Ray Adam Basaldua,3,1.17
2984,2062,Mayor,Christopher T. Schuchardt,57,22.27
2985,2062,Mayor,Christopher Longoria,8,3.12
2986,2062,Mayor,Ron Nirenberg,163,63.67
2987,2062,Mayor,Armando Dominguez,3,1.17
2988,2062,Mayor,Michael Idrogo,0,0.0
2989,2062,Mayor,Gary Allen,12,4.69
2990,2062,Mayor,Michael Samaniego,3,1.17
2991,2062,Mayor,Diana Flores Uriegas,7,2.73
2994,2062,District 1,Jeremy Roberts,34,13.39
2995,2062,District 1,Roberto Rios Ortega,9,3.54
2996,2062,District 1,Sukh Kaur,63,24.8
2997,2062,District 1,Ernest Salinas,60,23.62
2998,2062,District 1,Lauro Bustamante,11,4.33
2999,2062,District 1,Mario Bravo,72,28.35
3000,2062,District 1,William T. Lamar-Boone,5,1.97
3003,2064,Mayor,Ray Adam Basaldua,7,1.73
3004,2064,Mayor,Christopher T. Schuchardt,86,21.23
3005,2064,Mayor,Christopher Longoria,8,1.98
3006,2064,Mayor,Ron Nirenberg,256,63.21
3007,2064,Mayor,Armando Dominguez,3,0.74
3008,2064,Mayor,Michael Idrogo,0,0.0
3009,2064,Mayor,Gary Allen,27,6.67
3010,2064,Mayor,Michael Samaniego,7,1.73
3011,2064,Mayor,Diana Flores Uriegas,11,2.72
3014,2064,District 1,Jeremy Roberts,67,16.79
3015,2064,District 1,Roberto Rios Ortega,15,3.76
3016,2064,District 1,Sukh Kaur,116,29.07
3017,2064,District 1,Ernest Salinas,75,18.8
3018,2064,District 1,Lauro Bustamante,12,3.01
3019,2064,District 1,Mario Bravo,110,27.57
3020,2064,District 1,William T. Lamar-Boone,4,1.0
3023,2066,Mayor,Ray Adam Basaldua,11,1.14
3024,2066,Mayor,Christopher T. Schuchardt,227,23.57
3025,2066,Mayor,Christopher Longoria,17,1.77
3026,2066,Mayor,Ron Nirenberg,540,56.07
3027,2066,Mayor,Armando Dominguez,4,0.42
3028,2066,Mayor,Michael Idrogo,7,0.73
3029,2066,Mayor,Gary Allen,94,9.76
3030,2066,Mayor,Michael Samaniego,43,4.47
3031,2066,Mayor,Diana Flores Uriegas,20,2.08
3034,2066,District 7,Sandragrace Martinez,123,13.5
3035,2066,District 7,Jacob B. Chapa,170,18.66
3036,2066,District 7,Dan Rossiter,227,24.92
3037,2066,District 7,Marina Alderete Gavito,347,38.09
3038,2066,District 7,"Andrew ""AJ"" Luck",44,4.83
3041,2067,Mayor,Ray Adam Basaldua,0,0.0
3042,2067,Mayor,Christopher T. Schuchardt,9,14.29
3043,2067,Mayor,Christopher Longoria,2,3.17
3044,2067,Mayor,Ron Nirenberg,50,79.37
3045,2067,Mayor,Armando Dominguez,0,0.0
3046,2067,Mayor,Michael Idrogo,0,0.0
3047,2067,Mayor,Gary Allen,1,1.59
3048,2067,Mayor,Michael Samaniego,1,1.59
3049,2067,Mayor,Diana Flores Uriegas,0,0.0
3052,2067,District 1,Jeremy Roberts,14,23.33
3053,2067,District 1,Roberto Rios Ortega,1,1.67
3054,2067,District 1,Sukh Kaur,19,31.67
3055,2067,District 1,Ernest Salinas,3,5.0
3056,2067,District 1,Lauro Bustamante,2,3.33
3057,2067,District 1,Mario Bravo,19,31.67
3058,2067,District 1,William T. Lamar-Boone,2,3.33
3061,2068,Mayor,Ray Adam Basaldua,21,2.13
3062,2068,Mayor,Christopher T. Schuchardt,197,19.94
3063,2068,Mayor,Christopher Longoria,35,3.54
3064,2068,Mayor,Ron Nirenberg,562,56.88
3065,2068,Mayor,Armando Dominguez,4,0.4
3066,2068,Mayor,Michael Idrogo,5,0.51
3067,2068,Mayor,Gary Allen,77,7.79
3068,2068,Mayor,Michael Samaniego,55,5.57
3069,2068,Mayor,Diana Flores Uriegas,32,3.24
3072,2068,District 6,Irina Rudolph,425,44.27
3073,2068,District 6,Melissa Cabello Havrda,459,47.81
3074,2068,District 6,Chris Baecker,76,7.92
3077,2069,Mayor,Ray Adam Basaldua,8,2.09
3078,2069,Mayor,Christopher T. Schuchardt,69,18.02
3079,2069,Mayor,Christopher Longoria,8,2.09
3080,2069,Mayor,Ron Nirenberg,243,63.45
3081,2069,Mayor,Armando Dominguez,2,0.52
3082,2069,Mayor,Michael Idrogo,2,0.52
3083,2069,Mayor,Gary Allen,28,7.31
3084,2069,Mayor,Michael Samaniego,13,3.39
3085,2069,Mayor,Diana Flores Uriegas,10,2.61
3088,2069,District 6,Irina Rudolph,129,34.96
3089,2069,District 6,Melissa Cabello Havrda,198,53.66
3090,2069,District 6,Chris Baecker,42,11.38
3093,2070,Mayor,Ray Adam Basaldua,3,1.46
3094,2070,Mayor,Christopher T. Schuchardt,12,5.85
3095,2070,Mayor,Christopher Longoria,7,3.41
3096,2070,Mayor,Ron Nirenberg,157,76.59
3097,2070,Mayor,Armando Dominguez,5,2.44
3098,2070,Mayor,Michael Idrogo,3,1.46
3099,2070,Mayor,Gary Allen,6,2.93
3100,2070,Mayor,Michael Samaniego,4,1.95
3101,2070,Mayor,Diana Flores Uriegas,8,3.9
3104,2070,District 5,Arturo Espinosa,10,4.83
3105,2070,District 5,Teri Castillo,127,61.35
3106,2070,District 5,Rudy Lopez,70,33.82
3109,2071,Mayor,Ray Adam Basaldua,1,1.64
3110,2071,Mayor,Christopher T. Schuchardt,3,4.92
3111,2071,Mayor,Christopher Longoria,2,3.28
3112,2071,Mayor,Ron Nirenberg,47,77.05
3113,2071,Mayor,Armando Dominguez,2,3.28
3114,2071,Mayor,Michael Idrogo,0,0.0
3115,2071,Mayor,Gary Allen,3,4.92
3116,2071,Mayor,Michael Samaniego,1,1.64
3117,2071,Mayor,Diana Flores Uriegas,2,3.28
3120,2071,District 5,Arturo Espinosa,1,1.69
3121,2071,District 5,Teri Castillo,42,71.19
3122,2071,District 5,Rudy Lopez,16,27.12
3125,2072,Mayor,Ray Adam Basaldua,16,2.83
3126,2072,Mayor,Christopher T. Schuchardt,112,19.79
3127,2072,Mayor,Christopher Longoria,14,2.47
3128,2072,Mayor,Ron Nirenberg,297,52.47
3129,2072,Mayor,Armando Dominguez,5,0.88
3130,2072,Mayor,Michael Idrogo,1,0.18
3131,2072,Mayor,Gary Allen,50,8.83
3132,2072,Mayor,Michael Samaniego,57,10.07
3133,2072,Mayor,Diana Flores Uriegas,14,2.47
3136,2072,District 6,Irina Rudolph,171,32.33
3137,2072,District 6,Melissa Cabello Havrda,270,51.04
3138,2072,District 6,Chris Baecker,88,16.64
3141,2073,Mayor,Ray Adam Basaldua,5,2.6
3142,2073,Mayor,Christopher T. Schuchardt,38,19.79
3143,2073,Mayor,Christopher Longoria,12,6.25
3144,2073,Mayor,Ron Nirenberg,117,60.94
3145,2073,Mayor,Armando Dominguez,3,1.56
3146,2073,Mayor,Michael Idrogo,0,0.0
3147,2073,Mayor,Gary Allen,9,4.69
3148,2073,Mayor,Michael Samaniego,1,0.52
3149,2073,Mayor,Diana Flores Uriegas,7,3.65
3152,2073,District 1,Jeremy Roberts,30,15.87
3153,2073,District 1,Roberto Rios Ortega,11,5.82
3154,2073,District 1,Sukh Kaur,55,29.1
3155,2073,District 1,Ernest Salinas,24,12.7
3156,2073,District 1,Lauro Bustamante,7,3.7
3157,2073,District 1,Mario Bravo,57,30.16
3158,2073,District 1,William T. Lamar-Boone,5,2.65
3161,2074,Mayor,Ray Adam Basaldua,1,1.64
3162,2074,Mayor,Christopher T. Schuchardt,6,9.84
3163,2074,Mayor,Christopher Longoria,2,3.28
3164,2074,Mayor,Ron Nirenberg,44,72.13
3165,2074,Mayor,Armando Dominguez,1,1.64
3166,2074,Mayor,Michael Idrogo,0,0.0
3167,2074,Mayor,Gary Allen,1,1.64
3168,2074,Mayor,Michael Samaniego,2,3.28
3169,2074,Mayor,Diana Flores Uriegas,4,6.56
3172,2074,District 5,Arturo Espinosa,5,8.47
3173,2074,District 5,Teri Castillo,36,61.02
3174,2074,District 5,Rudy Lopez,18,30.51
3177,2075,Mayor,Ray Adam Basaldua,4,5.0
3178,2075,Mayor,Christopher T. Schuchardt,5,6.25
3179,2075,Mayor,Christopher Longoria,4,5.0
3180,2075,Mayor,Ron Nirenberg,57,71.25
3181,2075,Mayor,Armando Dominguez,1,1.25
3182,2075,Mayor,Michael Idrogo,0,0.0
3183,2075,Mayor,Gary Allen,6,7.5
3184,2075,Mayor,Michael Samaniego,1,1.25
3185,2075,Mayor,Diana Flores Uriegas,2,2.5
3188,2075,District 5,Arturo Espinosa,7,9.09
3189,2075,District 5,Teri Castillo,54,70.13
3190,2075,District 5,Rudy Lopez,16,20.78
3193,2076,Mayor,Ray Adam Basaldua,8,1.76
3194,2076,Mayor,Christopher T. Schuchardt,97,21.32
3195,2076,Mayor,Christopher Longoria,12,2.64
3196,2076,Mayor,Ron Nirenberg,247,54.29
3197,2076,Mayor,Armando Dominguez,3,0.66
3198,2076,Mayor,Michael Idrogo,2,0.44
3199,2076,Mayor,Gary Allen,38,8.35
3200,2076,Mayor,Michael Samaniego,34,7.47
3201,2076,Mayor,Diana Flores Uriegas,14,3.08
3204,2076,District 7,Sandragrace Martinez,80,18.48
3205,2076,District 7,Jacob B. Chapa,62,14.32
3206,2076,District 7,Dan Rossiter,106,24.48
3207,2076,District 7,Marina Alderete Gavito,150,34.64
3208,2076,District 7,"Andrew ""AJ"" Luck",35,8.08
3211,2077,Mayor,Ray Adam Basaldua,6,1.14
3212,2077,Mayor,Christopher T. Schuchardt,114,21.59
3213,2077,Mayor,Christopher Longoria,13,2.46
3214,2077,Mayor,Ron Nirenberg,302,57.2
3215,2077,Mayor,Armando Dominguez,8,1.52
3216,2077,Mayor,Michael Idrogo,2,0.38
3217,2077,Mayor,Gary Allen,36,6.82
3218,2077,Mayor,Michael Samaniego,31,5.87
3219,2077,Mayor,Diana Flores Uriegas,16,3.03
3222,2077,District 6,Irina Rudolph,202,39.76
3223,2077,District 6,Melissa Cabello Havrda,263,51.77
3224,2077,District 6,Chris Baecker,43,8.46
3227,2078,Mayor,Ray Adam Basaldua,7,1.92
3228,2078,Mayor,Christopher T. Schuchardt,64,17.53
3229,2078,Mayor,Christopher Longoria,14,3.84
3230,2078,Mayor,Ron Nirenberg,216,59.18
3231,2078,Mayor,Armando Dominguez,4,1.1
3232,2078,Mayor,Michael Idrogo,4,1.1
3233,2078,Mayor,Gary Allen,24,6.58
3234,2078,Mayor,Michael Samaniego,18,4.93
3235,2078,Mayor,Diana Flores Uriegas,14,3.84
3238,2078,District 6,Irina Rudolph,119,34.39
3239,2078,District 6,Melissa Cabello Havrda,181,52.31
3240,2078,District 6,Chris Baecker,46,13.29
3243,2079,Mayor,Ray Adam Basaldua,0,0.0
3244,2079,Mayor,Christopher T. Schuchardt,4,12.5
3245,2079,Mayor,Christopher Longoria,1,3.12
3246,2079,Mayor,Ron Nirenberg,21,65.62
3247,2079,Mayor,Armando Dominguez,0,0.0
3248,2079,Mayor,Michael Idrogo,0,0.0
3249,2079,Mayor,Gary Allen,0,0.0
3250,2079,Mayor,Michael Samaniego,2,6.25
3251,2079,Mayor,Diana Flores Uriegas,4,12.5
3254,2079,District 5,Arturo Espinosa,2,5.71
3255,2079,District 5,Teri Castillo,21,60.0
3256,2079,District 5,Rudy Lopez,12,34.29
3259,2080,Mayor,Ray Adam Basaldua,4,2.33
3260,2080,Mayor,Christopher T. Schuchardt,26,15.12
3261,2080,Mayor,Christopher Longoria,2,1.16
3262,2080,Mayor,Ron Nirenberg,113,65.7
3263,2080,Mayor,Armando Dominguez,1,0.58
3264,2080,Mayor,Michael Idrogo,2,1.16
3265,2080,Mayor,Gary Allen,13,7.56
3266,2080,Mayor,Michael Samaniego,4,2.33
3267,2080,Mayor,Diana Flores Uriegas,7,4.07
3270,2080,District 1,Jeremy Roberts,33,19.64
3271,2080,District 1,Roberto Rios Ortega,8,4.76
3272,2080,District 1,Sukh Kaur,48,28.57
3273,2080,District 1,Ernest Salinas,20,11.9
3274,2080,District 1,Lauro Bustamante,4,2.38
3275,2080,District 1,Mario Bravo,49,29.17
3276,2080,District 1,William T. Lamar-Boone,6,3.57
3279,2081,Mayor,Ray Adam Basaldua,2,1.46
3280,2081,Mayor,Christopher T. Schuchardt,27,19.71
3281,2081,Mayor,Christopher Longoria,2,1.46
3282,2081,Mayor,Ron Nirenberg,92,67.15
3283,2081,Mayor,Armando Dominguez,0,0.0
3284,2081,Mayor,Michael Idrogo,0,0.0
3285,2081,Mayor,Gary Allen,4,2.92
3286,2081,Mayor,Michael Samaniego,4,2.92
3287,2081,Mayor,Diana Flores Uriegas,6,4.38
3290,2081,District 7,Sandragrace Martinez,23,17.69
3291,2081,District 7,Jacob B. Chapa,16,12.31
3292,2081,District 7,Dan Rossiter,22,16.92
3293,2081,District 7,Marina Alderete Gavito,66,50.77
3294,2081,District 7,"Andrew ""AJ"" Luck",3,2.31
3297,2082,Mayor,Ray Adam Basaldua,4,1.78
3298,2082,Mayor,Christopher T. Schuchardt,49,21.78
3299,2082,Mayor,Christopher Longoria,6,2.67
3300,2082,Mayor,Ron Nirenberg,134,59.56
3301,2082,Mayor,Armando Dominguez,0,0.0
3302,2082,Mayor,Michael Idrogo,1,0.44
3303,2082,Mayor,Gary Allen,8,3.56
3304,2082,Mayor,Michael Samaniego,9,4.0
3305,2082,Mayor,Diana Flores Uriegas,14,6.22
3308,2082,District 1,Jeremy Roberts,31,14.03
3309,2082,District 1,Roberto Rios Ortega,12,5.43
3310,2082,District 1,Sukh Kaur,55,24.89
3311,2082,District 1,Ernest Salinas,43,19.46
3312,2082,District 1,Lauro Bustamante,10,4.52
3313,2082,District 1,Mario Bravo,66,29.86
3314,2082,District 1,William T. Lamar-Boone,4,1.81
3317,2083,Mayor,Ray Adam Basaldua,0,0.0
3318,2083,Mayor,Christopher T. Schuchardt,17,8.25
3319,2083,Mayor,Christopher Longoria,2,0.97
3320,2083,Mayor,Ron Nirenberg,167,81.07
3321,2083,Mayor,Armando Dominguez,0,0.0
3322,2083,Mayor,Michael Idrogo,1,0.49
3323,2083,Mayor,Gary Allen,5,2.43
3324,2083,Mayor,Michael Samaniego,3,1.46
3325,2083,Mayor,Diana Flores Uriegas,11,5.34
3328,2083,District 7,Sandragrace Martinez,36,18.0
3329,2083,District 7,Jacob B. Chapa,15,7.5
3330,2083,District 7,Dan Rossiter,23,11.5
3331,2083,District 7,Marina Alderete Gavito,121,60.5
3332,2083,District 7,"Andrew ""AJ"" Luck",5,2.5
3335,2084,Mayor,Ray Adam Basaldua,11,1.08
3336,2084,Mayor,Christopher T. Schuchardt,319,31.21
3337,2084,Mayor,Christopher Longoria,17,1.66
3338,2084,Mayor,Ron Nirenberg,516,50.49
3339,2084,Mayor,Armando Dominguez,5,0.49
3340,2084,Mayor,Michael Idrogo,3,0.29
3341,2084,Mayor,Gary Allen,56,5.48
3342,2084,Mayor,Michael Samaniego,78,7.63
3343,2084,Mayor,Diana Flores Uriegas,17,1.66
3346,2084,District 7,Sandragrace Martinez,102,10.31
3347,2084,District 7,Jacob B. Chapa,135,13.65
3348,2084,District 7,Dan Rossiter,388,39.23
3349,2084,District 7,Marina Alderete Gavito,330,33.37
3350,2084,District 7,"Andrew ""AJ"" Luck",34,3.44
3353,2085,Mayor,Ray Adam Basaldua,4,1.79
3354,2085,Mayor,Christopher T. Schuchardt,44,19.64
3355,2085,Mayor,Christopher Longoria,9,4.02
3356,2085,Mayor,Ron Nirenberg,132,58.93
3357,2085,Mayor,Armando Dominguez,4,1.79
3358,2085,Mayor,Michael Idrogo,2,0.89
3359,2085,Mayor,Gary Allen,15,6.7
3360,2085,Mayor,Michael Samaniego,6,2.68
3361,2085,Mayor,Diana Flores Uriegas,8,3.57
3364,2085,District 1,Jeremy Roberts,41,18.3
3365,2085,District 1,Roberto Rios Ortega,17,7.59
3366,2085,District 1,Sukh Kaur,48,21.43
3367,2085,District 1,Ernest Salinas,62,27.68
3368,2085,District 1,Lauro Bustamante,12,5.36
3369,2085,District 1,Mario Bravo,43,19.2
3370,2085,District 1,William T. Lamar-Boone,1,0.45
3373,2086,Mayor,Ray Adam Basaldua,5,0.65
3374,2086,Mayor,Christopher T. Schuchardt,143,18.57
3375,2086,Mayor,Christopher Longoria,24,3.12
3376,2086,Mayor,Ron Nirenberg,457,59.35
3377,2086,Mayor,Armando Dominguez,2,0.26
3378,2086,Mayor,Michael Idrogo,3,0.39
3379,2086,Mayor,Gary Allen,60,7.79
3380,2086,Mayor,Michael Samaniego,52,6.75
3381,2086,Mayor,Diana Flores Uriegas,24,3.12
3384,2086,District 7,Sandragrace Martinez,145,19.65
3385,2086,District 7,Jacob B. Chapa,103,13.96
3386,2086,District 7,Dan Rossiter,167,22.63
3387,2086,District 7,Marina Alderete Gavito,277,37.53
3388,2086,District 7,"Andrew ""AJ"" Luck",46,6.23
3391,2087,Mayor,Ray Adam Basaldua,11,2.14
3392,2087,Mayor,Christopher T. Schuchardt,115,22.42
3393,2087,Mayor,Christopher Longoria,10,1.95
3394,2087,Mayor,Ron Nirenberg,261,50.88
3395,2087,Mayor,Armando Dominguez,4,0.78
3396,2087,Mayor,Michael Idrogo,6,1.17
3397,2087,Mayor,Gary Allen,38,7.41
3398,2087,Mayor,Michael Samaniego,50,9.75
3399,2087,Mayor,Diana Flores Uriegas,18,3.51
3402,2087,District 6,Irina Rudolph,218,44.58
3403,2087,District 6,Melissa Cabello Havrda,236,48.26
3404,2087,District 6,Chris Baecker,35,7.16
3407,2088,Mayor,Ray Adam Basaldua,16,2.25
3408,2088,Mayor,Christopher T. Schuchardt,105,14.77
3409,2088,Mayor,Christopher Longoria,26,3.66
3410,2088,Mayor,Ron Nirenberg,435,61.18
3411,2088,Mayor,Armando Dominguez,7,0.98
3412,2088,Mayor,Michael Idrogo,5,0.7
3413,2088,Mayor,Gary Allen,56,7.88
3414,2088,Mayor,Michael Samaniego,34,4.78
3415,2088,Mayor,Diana Flores Uriegas,27,3.8
3418,2088,District 6,Irina Rudolph,246,36.12
3419,2088,District 6,Melissa Cabello Havrda,386,56.68
3420,2088,District 6,Chris Baecker,49,7.2
3423,2089,Mayor,Ray Adam Basaldua,0,0.0
3424,2089,Mayor,Christopher T. Schuchardt,1,3.45
3425,2089,Mayor,Christopher Longoria,0,0.0
3426,2089,Mayor,Ron Nirenberg,22,75.86
3427,2089,Mayor,Armando Dominguez,1,3.45
3428,2089,Mayor,Michael Idrogo,0,0.0
3429,2089,Mayor,Gary Allen,0,0.0
3430,2089,Mayor,Michael Samaniego,0,0.0
3431,2089,Mayor,Diana Flores Uriegas,5,17.24
3434,2089,District 5,Arturo Espinosa,3,9.68
3435,2089,District 5,Teri Castillo,21,67.74
3436,2089,District 5,Rudy Lopez,7,22.58
3439,2090,Mayor,Ray Adam Basaldua,2,1.16
3440,2090,Mayor,Christopher T. Schuchardt,30,17.44
3441,2090,Mayor,Christopher Longoria,10,5.81
3442,2090,Mayor,Ron Nirenberg,108,62.79
3443,2090,Mayor,Armando Dominguez,1,0.58
3444,2090,Mayor,Michael Idrogo,0,0.0
3445,2090,Mayor,Gary Allen,9,5.23
3446,2090,Mayor,Michael Samaniego,6,3.49
3447,2090,Mayor,Diana Flores Uriegas,6,3.49
3450,2090,District 7,Sandragrace Martinez,30,19.35
3451,2090,District 7,Jacob B. Chapa,23,14.84
3452,2090,District 7,Dan Rossiter,24,15.48
3453,2090,District 7,Marina Alderete Gavito,67,43.23
3454,2090,District 7,"Andrew ""AJ"" Luck",11,7.1
3457,2091,Mayor,Ray Adam Basaldua,2,0.64
3458,2091,Mayor,Christopher T. Schuchardt,39,12.54
3459,2091,Mayor,Christopher Longoria,7,2.25
3460,2091,Mayor,Ron Nirenberg,222,71.38
3461,2091,Mayor,Armando Dominguez,2,0.64
3462,2091,Mayor,Michael Idrogo,1,0.32
3463,2091,Mayor,Gary Allen,18,5.79
3464,2091,Mayor,Michael Samaniego,5,1.61
3465,2091,Mayor,Diana Flores Uriegas,15,4.82
3468,2091,District 7,Sandragrace Martinez,63,22.66
3469,2091,District 7,Jacob B. Chapa,28,10.07
3470,2091,District 7,Dan Rossiter,55,19.78
3471,2091,District 7,Marina Alderete Gavito,114,41.01
3472,2091,District 7,"Andrew ""AJ"" Luck",18,6.47
3475,2092,Mayor,Ray Adam Basaldua,1,1.85
3476,2092,Mayor,Christopher T. Schuchardt,17,31.48
3477,2092,Mayor,Christopher Longoria,0,0.0
3478,2092,Mayor,Ron Nirenberg,28,51.85
3479,2092,Mayor,Armando Dominguez,0,0.0
3480,2092,Mayor,Michael Idrogo,0,0.0
3481,2092,Mayor,Gary Allen,3,5.56
3482,2092,Mayor,Michael Samaniego,2,3.7
3483,2092,Mayor,Diana Flores Uriegas,3,5.56
3486,2092,District 1,Jeremy Roberts,11,23.91
3487,2092,District 1,Roberto Rios Ortega,1,2.17
3488,2092,District 1,Sukh Kaur,15,32.61
3489,2092,District 1,Ernest Salinas,4,8.7
3490,2092,District 1,Lauro Bustamante,4,8.7
3491,2092,District 1,Mario Bravo,7,15.22
3492,2092,District 1,William T. Lamar-Boone,4,8.7
3495,2093,Mayor,Ray Adam Basaldua,4,3.2
3496,2093,Mayor,Christopher T. Schuchardt,24,19.2
3497,2093,Mayor,Christopher Longoria,6,4.8
3498,2093,Mayor,Ron Nirenberg,71,56.8
3499,2093,Mayor,Armando Dominguez,1,0.8
3500,2093,Mayor,Michael Idrogo,0,0.0
3501,2093,Mayor,Gary Allen,9,7.2
3502,2093,Mayor,Michael Samaniego,5,4.0
3503,2093,Mayor,Diana Flores Uriegas,5,4.0
3506,2093,District 6,Irina Rudolph,44,38.94
3507,2093,District 6,Melissa Cabello Havrda,53,46.9
3508,2093,District 6,Chris Baecker,16,14.16
3511,2094,Mayor,Ray Adam Basaldua,0,0.0
3512,2094,Mayor,Christopher T. Schuchardt,7,14.29
3513,2094,Mayor,Christopher Longoria,1,2.04
3514,2094,Mayor,Ron Nirenberg,37,75.51
3515,2094,Mayor,Armando Dominguez,0,0.0
3516,2094,Mayor,Michael Idrogo,0,0.0
3517,2094,Mayor,Gary Allen,4,8.16
3518,2094,Mayor,Michael Samaniego,0,0.0
3519,2094,Mayor,Diana Flores Uriegas,0,0.0
3522,2094,District 1,Jeremy Roberts,16,32.65
3523,2094,District 1,Roberto Rios Ortega,0,0.0
3524,2094,District 1,Sukh Kaur,25,51.02
3525,2094,District 1,Ernest Salinas,4,8.16
3526,2094,District 1,Lauro Bustamante,0,0.0
3527,2094,District 1,Mario Bravo,2,4.08
3528,2094,District 1,William T. Lamar-Boone,2,4.08
3531,2096,Mayor,Ray Adam Basaldua,3,1.18
3532,2096,Mayor,Christopher T. Schuchardt,29,11.42
3533,2096,Mayor,Christopher Longoria,5,1.97
3534,2096,Mayor,Ron Nirenberg,174,68.5
3535,2096,Mayor,Armando Dominguez,5,1.97
3536,2096,Mayor,Michael Idrogo,0,0.0
3537,2096,Mayor,Gary Allen,19,7.48
3538,2096,Mayor,Michael Samaniego,7,2.76
3539,2096,Mayor,Diana Flores Uriegas,12,4.72
3542,2096,District 7,Sandragrace Martinez,48,21.82
3543,2096,District 7,Jacob B. Chapa,32,14.55
3544,2096,District 7,Dan Rossiter,50,22.73
3545,2096,District 7,Marina Alderete Gavito,77,35.0
3546,2096,District 7,"Andrew ""AJ"" Luck",13,5.91
3549,2097,Mayor,Ray Adam Basaldua,4,1.03
3550,2097,Mayor,Christopher T. Schuchardt,77,19.74
3551,2097,Mayor,Christopher Longoria,9,2.31
3552,2097,Mayor,Ron Nirenberg,239,61.28
3553,2097,Mayor,Armando Dominguez,8,2.05
3554,2097,Mayor,Michael Idrogo,2,0.51
3555,2097,Mayor,Gary Allen,17,4.36
3556,2097,Mayor,Michael Samaniego,22,5.64
3557,2097,Mayor,Diana Flores Uriegas,12,3.08
3560,2097,District 6,Irina Rudolph,118,32.96
